epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,548.899,1.96499,1.53038,1.1534,0.73803,0.46624,0.51529,0.25522,1.66219,1.01568,1.03584,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919
2,1130.18,1.79726,1.0657,1.03566,0.70942,0.43482,0.48305,0.23784,1.72217,1.07751,1.0528,0.0197897,0.00659657,0.0197897,0.00659657,0.0197897,0.00659657,0.0197897,0.00659657
3,1726.91,1.8208,1.06248,1.04504,0.74873,0.46041,0.50856,0.25257,1.67946,0.99407,1.05999,0.0293938,0.00979794,0.0293938,0.00979794,0.0293938,0.00979794,0.0293938,0.00979794
4,2190.82,1.79523,1.04809,1.04878,0.76564,0.4783,0.53349,0.26486,1.66126,0.90676,1.05906,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2658.26,1.75299,0.99279,1.0383,0.76425,0.47589,0.53334,0.26542,1.63234,0.94894,1.0519,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3129.86,1.70819,0.95113,1.02777,0.78165,0.51198,0.57187,0.28797,1.59326,0.84729,1.03065,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3584.06,1.67812,0.92821,1.02212,0.78837,0.51008,0.57235,0.29017,1.59464,0.83073,1.03097,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4044.9,1.66183,0.9018,1.01256,0.79361,0.52109,0.58385,0.29832,1.55926,0.81807,1.01997,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4517.68,1.63399,0.88266,1.00991,0.80779,0.52676,0.59388,0.30597,1.53447,0.79333,1.00923,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4984.43,1.63672,0.88084,1.00787,0.80828,0.54207,0.60644,0.31187,1.52975,0.78308,1.01367,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5621.65,1.63879,0.87369,0.99886,0.80803,0.53576,0.6011,0.30773,1.53256,0.79011,1.00792,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6072.54,1.62501,0.85761,0.99508,0.81752,0.53565,0.6063,0.31623,1.51233,0.7602,1.00275,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6626.11,1.61717,0.85704,0.99735,0.81512,0.5429,0.60971,0.31477,1.52365,0.75909,1.00576,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7087.62,1.61078,0.84202,0.99512,0.82098,0.55575,0.62453,0.32451,1.50425,0.75052,0.99907,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7635.88,1.60081,0.83453,0.98828,0.8163,0.55697,0.62188,0.3244,1.49616,0.74589,0.9995,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8107.14,1.59667,0.82832,0.9858,0.82159,0.55975,0.62692,0.32738,1.49784,0.73424,0.99517,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8583.64,1.59863,0.82926,0.98602,0.82558,0.55633,0.62583,0.32377,1.50002,0.73373,0.99708,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9057.33,1.58759,0.8207,0.98547,0.8168,0.56048,0.62633,0.3259,1.48093,0.72621,0.99059,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,9528.25,1.58487,0.81798,0.98244,0.82905,0.56622,0.63578,0.33186,1.48542,0.72549,0.99249,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10017.6,1.55756,0.79997,0.98041,0.82981,0.56275,0.63112,0.32948,1.48956,0.72059,0.9947,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,10502.2,1.57538,0.81211,0.98181,0.83177,0.56673,0.63673,0.33397,1.47356,0.71997,0.98951,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,500.553,1.57364,0.80851,0.98105,0.82747,0.56935,0.63665,0.3329,1.47654,0.70741,0.98776,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1080.69,1.57177,0.80079,0.97712,0.83133,0.57091,0.64004,0.33613,1.47357,0.70719,0.98802,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1722.45,1.57343,0.79811,0.97552,0.82648,0.57194,0.64011,0.33636,1.47432,0.7025,0.98589,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2164.11,1.56331,0.79471,0.97745,0.83034,0.57698,0.64428,0.33872,1.46171,0.69925,0.98435,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2603.95,1.56461,0.79423,0.97574,0.82678,0.57876,0.64552,0.3401,1.46485,0.6926,0.98516,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3040.58,1.55427,0.78978,0.97672,0.83143,0.57909,0.6464,0.34123,1.45671,0.69347,0.98318,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3478.56,1.54422,0.78443,0.97552,0.83375,0.57912,0.64881,0.34195,1.45438,0.68571,0.98086,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3917.82,1.53961,0.77578,0.97168,0.83671,0.58234,0.65194,0.34481,1.45006,0.68366,0.97922,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4363.52,1.5264,0.76893,0.97293,0.83916,0.58287,0.65238,0.34502,1.44905,0.67887,0.97932,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4810.43,1.53696,0.77675,0.97297,0.84262,0.58443,0.65357,0.34627,1.44293,0.67464,0.97585,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5427.81,1.54688,0.77851,0.96802,0.83652,0.58433,0.65287,0.34472,1.45116,0.67719,0.97838,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5887,1.53795,0.76989,0.96549,0.83818,0.58594,0.65606,0.34795,1.44793,0.67537,0.97811,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6411.61,1.5362,0.77315,0.96938,0.83488,0.5877,0.65558,0.34747,1.44641,0.6739,0.97938,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6850.98,1.53431,0.76618,0.96774,0.84311,0.58818,0.65845,0.34828,1.44703,0.66951,0.97697,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7361.53,1.53014,0.76306,0.96335,0.84089,0.58816,0.65745,0.34862,1.44175,0.66849,0.97506,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7801.83,1.5274,0.75779,0.96157,0.83769,0.5923,0.65908,0.34912,1.44333,0.66492,0.97519,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8249.9,1.53049,0.76266,0.96293,0.84536,0.59388,0.66256,0.35193,1.44,0.66543,0.97721,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8691.08,1.52329,0.75633,0.96244,0.84211,0.59115,0.6607,0.35092,1.43846,0.66213,0.97525,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9133.09,1.52208,0.75573,0.96179,0.84281,0.59022,0.65967,0.3505,1.43643,0.66432,0.97452,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9577.72,1.49792,0.74301,0.95883,0.84645,0.59153,0.66165,0.35229,1.43658,0.66092,0.97392,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10032.5,1.51772,0.75359,0.96083,0.84485,0.59597,0.6652,0.35327,1.43446,0.66016,0.97245,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10494.4,1.52019,0.75289,0.96369,0.84793,0.5936,0.66384,0.35347,1.43355,0.65829,0.97298,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11103.1,1.52449,0.75312,0.96441,0.8465,0.59398,0.66387,0.3532,1.43248,0.65644,0.97222,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11572.5,1.51702,0.75069,0.96283,0.8478,0.59524,0.6658,0.35348,1.43292,0.6559,0.97231,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12039.2,1.51506,0.74783,0.95717,0.84676,0.59685,0.66754,0.35463,1.43295,0.65352,0.97176,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,12497.3,1.5151,0.7497,0.96031,0.84377,0.59803,0.66714,0.35464,1.43095,0.65245,0.97086,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13109.2,1.50698,0.74039,0.9588,0.84308,0.59947,0.66822,0.35549,1.42974,0.65088,0.97101,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13732.2,1.50795,0.74255,0.95557,0.84831,0.5978,0.6689,0.35647,1.42856,0.65181,0.9709,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,14198.6,1.50669,0.74163,0.95504,0.84722,0.60005,0.6699,0.35609,1.42752,0.64976,0.9698,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14690.9,1.50859,0.74367,0.95661,0.84898,0.599,0.67022,0.35631,1.42692,0.64863,0.96902,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15180.3,1.50843,0.73976,0.95542,0.8433,0.60205,0.67094,0.35758,1.4255,0.64693,0.96899,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,15719.5,1.50051,0.73285,0.9542,0.84787,0.60342,0.67272,0.35854,1.42505,0.6454,0.96935,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16220.2,1.49963,0.73243,0.9531,0.8491,0.60328,0.67307,0.35804,1.42591,0.6452,0.96932,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16786.4,1.49753,0.73209,0.95283,0.84696,0.60363,0.67318,0.35851,1.42438,0.64453,0.96874,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17310.1,1.48711,0.72451,0.95472,0.84734,0.60606,0.6738,0.3589,1.42384,0.64358,0.9681,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17754.8,1.50226,0.73136,0.95288,0.8453,0.60537,0.67296,0.35902,1.42387,0.64398,0.96834,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,18214.2,1.49406,0.72672,0.95049,0.84373,0.6072,0.6735,0.35893,1.42378,0.64232,0.96815,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18686.7,1.49844,0.72828,0.9513,0.84817,0.60424,0.67289,0.35827,1.42414,0.6417,0.96803,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,19248.8,1.48264,0.7195,0.95078,0.84897,0.6047,0.67353,0.35922,1.42246,0.64073,0.96775,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19713.4,1.49302,0.72352,0.94773,0.84909,0.60632,0.67449,0.35995,1.42153,0.64003,0.9678,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,20187.8,1.48395,0.71967,0.94939,0.84867,0.60682,0.67482,0.35993,1.42163,0.63951,0.96754,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,20676.9,1.48576,0.71855,0.94768,0.84692,0.60807,0.67536,0.36035,1.42146,0.6389,0.9674,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,21159.5,1.48533,0.7184,0.94633,0.84875,0.60644,0.67508,0.36053,1.42122,0.63737,0.96764,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,517.996,1.47247,0.71113,0.9453,0.85048,0.60639,0.67514,0.36082,1.4205,0.63732,0.96734,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1096.03,1.47232,0.70971,0.943,0.85017,0.60685,0.67565,0.36111,1.4199,0.63655,0.96694,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1757.19,1.47852,0.7113,0.94299,0.85139,0.60722,0.67622,0.36148,1.42009,0.63683,0.96717,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2268.53,1.46926,0.70709,0.94348,0.85233,0.60705,0.67653,0.36173,1.42001,0.63677,0.96661,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2749.92,1.47126,0.70767,0.94221,0.85626,0.60606,0.6768,0.3618,1.42007,0.6361,0.96644,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3237.29,1.46057,0.70352,0.94212,0.85131,0.60843,0.67799,0.36172,1.42029,0.63599,0.96616,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3713.25,1.45625,0.69995,0.94443,0.85101,0.60862,0.67821,0.36173,1.42055,0.63556,0.96633,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4166.32,1.45082,0.6943,0.94048,0.85086,0.60876,0.67829,0.36183,1.42036,0.63523,0.96622,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4624.07,1.43775,0.6875,0.94194,0.85001,0.60944,0.6772,0.36205,1.42006,0.63504,0.96612,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
